TEFLON  SANTUL 3/4,17,14
SIERRA TRUP CIRCULO 18093,246,208
TORN ROSCA FIERO 3/8X4,17,13.5
MANDRIL P/BROC 1 1/4-6 (18123),318,265
CERROJO LICO,318,275
NYLON 80MM,93.22,80
PESTILLO SML 40MM,42.4,35
CUBO MEC TACTIX #30 LARG,534,450
BOMBILLO CORAL 3W-22W,55,44
ALICATE ELECTRICISTA REFORZADO,209.75,160
CERROJO YANEX,275,265
SPRAY LICO VIOLETA 327,106,85
LLAVE LAV 10101002,360.2,304
REGULADOR PRCIMEX S/GPOMA,487.3,250
TIJERA PODAR 8´´,237.3,206.5
RUEDA CARRETILLA,1381.4,1209
CEPILLO ALAMBRE PRET,97.5,83
DISCO PULIR 7 DIGIDISK,127,112
ABRAZADERA P/CABLE 3/4,93.2,78.5
SPRAY LICO NEG C/B,106,85
CAJA SEG 30 AMP,1271,1100
CERROJO YALE C/P,805,678
COLA EXTENSION P/LAV 1 1/4X6,17,14.25
HG REDUCCION 1 1/2 A 1,110,95
PVC TUBO SDR-41 6,4148,3165
CONECTOR TRUP P/M M 1/2 (12710),51,43
MADERA PINO AM BTO 1X4X12,475.6,437
BROCA PLANA P/MAD 3/4,76.3,66
CABLE DE RED SUP,4.24,4
FERRE TROP GL,953.4,900
TORN ROSCA 5/8 X 1 1/2,17,13
TORN ROSCA 5/8 X2,21.2,17
TORN ROSCA 5/8 X3,30,22
ARANDELA PRESION 5/8,2.5,2
CORREDERA CENTRO 16´´ (CJY0052),119,105
PERFIL P/CERAMICA B/C,55,40
CONECTOR T/SILLA TA-2/0,42.4,34.5
CONECTOR T/SILLA AU-250,195,163
CONECTOR T/SILLA TA-350,110,94
CONECTOR T/SILLA AU-350,245.8,205
TOMACORRIENTE NARANJ,76.3,64
TAPA TOMACORRIENTE W/P GRIS,212,185
CLAVO P/CLAVADORA  F25,288,242
CLAVO P/CLAVADORA F32,352,307
CLAVO P/CLAVADORA F38,491.5,430
CLAVO P/CLAVADORA F50,652.5,571
LINGA AZUL 1 X 5M,296.6,255
PUNTA ESTRIA (12153) #2 3´´,21.2,17
TORN ROSCA FIERO 1/2X 1 1/2(44593),17,14
MEZCLADORA FREG MONO,826.27,720
PALO P/ AZADA BELLOTA,424,368
INTERRUPTOR MACO DOBLE,85,70
EXTENSION ELECT SML 15FT,110,95
EXTENSION ELECT SML 9FT,72,62
TARUGO BLANCO 3/16 X1 1/2,0.59,0.46
AZADA BELLOTA 255-A,572,480
AZADA BELLOTA 255-B,606,512
DISCO DIAMANTADO 4 1/2 BENO,127,117
SPRAY LICO NEG MATE,106,85
POLVO MOSAICO VERDE,63.6,66.3
ESMALTE BRONCE CLARO,119,120
ESMALTE BRONCE OSC,119,120
MASILLA WURTH SILICONIZADA,161,141
DISCO CORTE WURTH 7,119,100
REMACHE 3/16X1 ARAND ANCHA,1.7,1.43
PULIDORA TOTAL 900W,1737.28,1522
TORN HILLT 5/16X2 1/2,11,9.44
TORN HILLT 5/16X3,12.71,10.2
TORN HILLT 1/2X3,21.18,20
TARUGOS MEC 1/4 1 1/4,17,15
TARUGOS MEC 5/16,25,21.4
TARUGOS MEC 3/8,38.12,36
CEMENTO CONT SPRAY CANO,415.25,363.44
PINT BLANC 00 CANO,338.98,306.8
SPRAY LICO GRIS 48,106,85
SPRAY TAYLOR FLOREC AZUL,85,65
PESTILLO EL FUERTE 50MM,46.6,40
FREGADERO DOBLE TEKA 19X33¨ 3H,3199.2,2200
SILICON MAKER NEGRO 70ML,85,65
PISTOLA TOOLCRAFT GRAVD 45PSI,741.5,625
PINZA PELA CABLE TOOLCRAFT 6´´,567,478
NYLON DE PESCAR 0.80MM,85,75
PINZA WORKPRO PUNTA LARGA 8´´,123,100
PORTA ROLO LANCO,170,150
CEPILLO LAVAR,80.5,75
ESMALT TOKA  BLANC 1/4,296.6,293
TORN ROSCA FIERO 5/16X4,12.71,9.8
ALAMBRE PUA 250MT C/17,2025.4,1770
ACERO PLASTICO EXPOSI 509,110,95
CLAVO PARED CAJA VERDE,152.54,132
PINZA P/CABLE 50AMP,76.3,64
CABLE JUMPER 500W,720,625
CINTA PLOMERO 5.5MT,148,124
TIMBRE INALAMBRICO,458,385
SOLDADURA DHEK 3/32,466.1,425
TARUGO P/CHIRRO,1.7,1.5
SOLDADURA UNIVERSAL,101.7,90
TINTE CAOBA 01 02 03 05,292.4,256
MOTA MATERIAL ANTIGOTA,66.6,50
PVC YEE 1 1/2,38.13,35
ATOMIZADOR 500ML,80.5,65.5
ADAPTADOR TRUP MEC 3/8-1/2(13420),93.22,80
CUBO MEC TRUP #28 13542,182.2,159
ARANDELA PLANA INOX 5/16,1.7,1.3
MASILLA LANCO GL BLC,695,607.7
CINCEL INGCO PLANO DBC0122502,169.5,140
ZOCALO ADAPTADOR P/ BOM,51,45
TIRADOR CROMADO LUJO 4,21.2,18
ALAMBRE PUA 250MT CORVI,2182.2,1900
CARBON P/PULIDORA BENO,51,41.3
BREAKER GE GRUESO 20A/1,372.88,320
BREAKER GE GRUESO 30A/1,372.88,320
BREAKER GE FINO 30 AMP,372,320
FREGADERO BAR 15X15,682.2,575
MINI ROLO TAYLOR COMPLETO 3,93.22,80
PVC CODO 1 1/2 X 45 SCH 40,34,30.15
GANCHO S MARRON 1/2 MET,38,30.5
GANCHO S MARRON GRA MET,68,45
ALAMBRE GOMA 2.5/2 MM,21.19,20
PVC COUPLING 4 DRENAJE,85,87
TUCAN POSITIVO ROJO 1/4,224.6,207
EXTENSION MEC TRUP 3/8X3,97.5,86
GRAPA GRAPADORA 5/16X0.6,68,58
EXTENSION P/ROLO TRUP 10546,1207.6,1047
MINI ROLO TRUP  C/BANDE,237.2,206
TORN TIRAFONDO 10X1/2,0.76,0.63
DETECTOR DE BILLETES 48400,614.4,518
CAJA BREAKER 4 GRU,343.22,300
TORN ROSCA MIL #12 X 2,8.5,6.5
SPRAY LICO GRIS 22,106,85
TAPA CISTERNA,0,0
CARBON OSTER/BLOWERS,42.4,36
TORN ROSCA MIL #12 X1,8.5,7
